mr,utt
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]","_|name|_ is a kid friendly, high customer rating and moderately priced _|eatType|_ located near _|near|_ in the _|area|_ area."
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]",_|name|_ is a children friendly high rated _|food|_ _|eatType|_ located near _|near|_ in _|area|_ with a price range of more than £30.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]",_|name|_ is an expensive family _|eatType|_ that is located near _|near|_. it serves british food.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]","_|name|_ is a highly rated, children friendly _|eatType|_ near _|near|_ in _|area|_. it has _|food|_ food and the price range is more than £30."
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]",_|name|_ is an expensive family _|eatType|_ that serves british food. it is located near a _|near|_.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]","there is a children friendly _|eatType|_ called _|name|_ located near the _|near|_ in the _|area|_ area, it receives high customer ratings and is moderately priced at around £30."
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]",the highly rated _|name|_ _|food|_ _|eatType|_ is located in _|area|_ near _|near|_ and has a price range of more than £30.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]",there is an _|food|_ _|eatType|_ called _|name|_. it is near _|near|_ in the _|area|_ area.  it is children friendly and in the above  £30 price range.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]","_|name|_ is in the northern city centre, on the south side of the river, near _|near|_."
"name[The Mill], eatType[restaurant], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ in _|area|_ with a price range of £20-25 and is kids friendly  is near the _|near|_ is a _|food|_ _|eatType|_
"name[The Mill], eatType[restaurant], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",near the _|near|_ in _|area|_ with a price  range of 20£-25 and is kids friendly  is a _|food|_ _|eatType|_ called _|name|_
"name[The Mill], eatType[restaurant], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a _|food|_ _|eatType|_ that's kid friendly where you can eat for under £25 and is located near _|near|_ in _|area|_
"name[The Mill], eatType[restaurant], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",for under £25 _|name|_ offers a kid friendly _|eatType|_ serving _|food|_ located in _|area|_ near _|near|_
"name[The Mill], eatType[restaurant], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ located near _|near|_ at _|area|_ providing _|food|_. its price range is £20-25 and it is kids friendly.
"name[The Mill], eatType[restaurant], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",near _|near|_ at _|area|_ there is a _|eatType|_ called _|name|_ which provides _|food|_. it has a price range of £20-25 and is kids friendly.
"name[The Mill], eatType[restaurant], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",for a cheap _|eatType|_ in _|area|_ go to _|name|_.  it's family-friendly near _|near|_ and serves _|food|_.
"name[The Mill], eatType[restaurant], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",family friendly _|eatType|_ _|name|_ situated _|area|_ near the _|near|_.  offering great food at cheap prices.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","with a cheap price range along the _|area|_, the _|eatType|_ named _|name|_ is family friendly and serves _|food|_ _|near|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a cheap and family friendly _|eatType|_ in the _|area|_ area. _|name|_ serves _|food|_ and is located near _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|area|_ has a cheap _|food|_ _|eatType|_ near _|near|_ named _|name|_.  it's family-friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",cheap food and a family friendly atmosphere at _|name|_ _|eatType|_.   situated _|area|_ near the _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a cheap and family friendly _|eatType|_ in the _|area|_ area. _|name|_ serves _|food|_ and is located near _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ serving _|food|_ located in _|area|_ near _|near|_. it is cheap and  family friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","with a cheap price range along the _|area|_, the _|eatType|_  '_|name|_' is family friendly and serves _|food|_ _|near|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",family friendly _|name|_ is a cheap _|eatType|_ serving _|food|_. it is located in _|area|_ near _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|area|_  _|eatType|_  _|name|_  _|food|_ price range same _|near|_
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","there is a _|eatType|_ located in the _|area|_, near _|near|_, in the high price range. _|name|_ provides _|food|_ but no children friendly menu or services are offered."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","_|name|_ is a _|eatType|_ near _|near|_ in the _|area|_. they serve _|food|_, no children menus or services, in a high price range."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a  high priced _|eatType|_ that serves _|food|_ but is a non-children friendly atmosphere. it is located near _|near|_ both in the _|area|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","a  high priced _|eatType|_ that serves _|food|_ is _|name|_ , but has a non-children friendly atmosphere. it is located in the _|area|_ near _|near|_"
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is a child-friendly _|food|_ _|eatType|_. it is in the high price range, and a _|eatType|_. it is located near _|near|_ in the _|area|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",the child friendly _|food|_ _|eatType|_ named _|name|_ _|eatType|_ is near the _|near|_ and the city center in the high price range.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ is in the high price range and serves child friendly _|food|_ near the _|near|_ and the center of the city.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is a child-friendly _|food|_ _|eatType|_ in the high price range. it is located in the _|area|_, near _|near|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ offers  _|food|_ and _|eatType|_ with expensive price near _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","in the area of _|area|_ near _|near|_ is _|name|_, it is a _|eatType|_. it is not kid friendly and the _|food|_ is highly expensive."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","_|name|_, a _|food|_ _|eatType|_ is not kid friendly. with a high price range, it is near _|near|_ and in the _|area|_ area."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ offers  _|food|_ and _|eatType|_ with expensive price near _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","the _|eatType|_, _|name|_, is not kid friendly, considered _|food|_ and has a high price range. though not kid friendly,  it is near _|near|_ and river side."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","_|name|_ _|eatType|_ has highly expensive _|food|_, and it is not kid friendly. it is in the area of _|area|_ and near _|near|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","there is a _|food|_, _|eatType|_ located near _|near|_ in _|area|_ called _|name|_. the _|eatType|_ is in the higher price range and is children friendly."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",there is a family friendly _|eatType|_ called _|name|_ that is located near _|near|_ with high price takeaway menu items.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","a high priced _|eatType|_ serving _|food|_ in the _|area|_ area, near _|near|_, is _|name|_. it is children friendly."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a children friendly _|food|_ _|eatType|_ and _|eatType|_. it is located in the _|area|_ area near _|near|_
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is a high priced, child friendly, _|food|_ _|eatType|_ in _|area|_, near _|near|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","family friendly, _|name|_ _|eatType|_ which is on the pricey side, located near the river and _|near|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","if you are looking for higher priced _|food|_ in a child friendly environment, consider _|name|_ _|eatType|_. located in the _|area|_ area, near _|near|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is a _|food|_,  _|eatType|_ located near _|near|_ in _|area|_. the _|eatType|_ is children friendly and is in the higher price range."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","in _|area|_, near _|near|_ is a child friendly, high priced, _|food|_ coffee ship called _|name|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",beside _|near|_ in _|area|_ there is a child friendly high priced _|food|_ and _|eatType|_ called _|name|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is located near _|near|_ that has expensive, family friendly take out."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","close to _|near|_, on the _|area|_, _|name|_ _|eatType|_ offers higher priced _|food|_ in a child friendly establishment."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a child friendly high priced _|food|_ and _|eatType|_ near _|near|_ in _|area|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a high price _|eatType|_ located by _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","the children friendly _|food|_ _|eatType|_ and _|eatType|_, _|name|_ is very expensive. it is located in the _|area|_ area near _|near|_"
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",there's a _|eatType|_ named _|name|_ by _|near|_. it's a dine in at a high price.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","a _|food|_ and _|eatType|_ near _|near|_ in the _|area|_, _|name|_ is a family-friendly place where you can eat for less than £20"
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",there is a moderately priced _|eatType|_ _|name|_ in the _|area|_ near _|near|_. it is not family-friendly but they serve _|food|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a family-friendly _|food|_ and _|eatType|_ near _|near|_ in the _|area|_ where you can eat for less than £20
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a nice _|eatType|_ with _|food|_ service and lower prices than £ 20 are located in the city center area near _|near|_
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a charming _|eatType|_ featuring _|food|_ service and lower prices to £ 20 are located near _|near|_ in the city center area
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a moderately priced _|eatType|_ in the _|area|_ near _|near|_. it is not family-friendly but they serve _|food|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","welcome to _|name|_, we are a _|eatType|_. we're family-friendly we serve _|food|_ we are located in the _|area|_ near the _|near|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","welcome to _|name|_, we are a _|eatType|_. we're family-friendly we serve _|food|_ we are located in the _|area|_ near the _|near|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a family-friendly _|eatType|_  that has a price range less than 20 pounds featuring _|food|_ near _|near|_ in the _|area|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ serves _|food|_ is located near _|near|_ in the _|area|_.  it is family-friendly and has a price range less than 20 pounds.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","_|name|_ _|eatType|_, located on the river, is near _|near|_ and low priced"
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",in the _|area|_ near _|near|_ is _|eatType|_ called a _|name|_. it serves _|food|_ for less than £20 and isn't family-friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","_|name|_ is a _|area|_, _|food|_ _|eatType|_ for adults that is _|area|_ near _|near|_ with prices less than £20."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","_|name|_ is a comfortable _|eatType|_ that is within city centre limits, next to the _|near|_ _|eatType|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",at the  _|area|_ near _|near|_ is _|name|_ _|eatType|_ that has  _|food|_ less than £20 and is not family-friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","for cheap _|food|_, _|name|_ _|eatType|_ is in the city centre near _|near|_.  it is not family friendly."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","the _|eatType|_, _|name|_ is an affordable location city center. and the _|near|_ _|eatType|_"
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a low priced _|eatType|_ on the river located near _|near|_
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a non family-friendly _|eatType|_ in the _|area|_. it is located near to _|near|_ and serves _|food|_ for less than £20.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ _|eatType|_ and _|food|_ _|eatType|_ offers meals under £20. it is located in _|area|_ near _|near|_ and is not family-friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","_|name|_ _|eatType|_ in the city centre, close to _|near|_, is cheap and not family friendly."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",there's a family friendly _|eatType|_ in a cheap price range  near _|near|_  called _|name|_
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ _|eatType|_, located next to _|near|_, is a low-cost, family friendly place offering burgers and fries."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a low cost family friendly _|eatType|_ near the river and _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","a _|eatType|_ with _|food|_, near _|near|_ on the _|area|_ is family friendly and less than 20 euros is  known as, _|name|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ providing tea and coffee. it is located near _|near|_ in the city centre.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_, located on the river next to _|near|_, north of the city centre, is a low-priced, family friendly _|eatType|_ offering burgers and fries as well."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",there is a _|eatType|_ called _|name|_ located near _|near|_ in the city centre that provides coffee and tea.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is located near _|near|_ and is a low cost family friendly _|eatType|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_, a _|eatType|_ with _|food|_, near _|near|_, on the _|area|_ is family friendly and less than 20 euros"
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",there is a _|eatType|_ named _|name|_ located in the _|area|_ area near _|near|_. this is a kid friendly _|eatType|_ offering a variety of food at a low cost.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a family friendly _|eatType|_ in a cheap price range  near _|near|_
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","located in the centre of the city near _|near|_, moderately priced _|name|_ offers an adult, non kid friendly _|food|_ experience."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",the  phoenix _|eatType|_ serves _|food|_ at a moderate price.  _|name|_ can be found near _|near|_ in the _|area|_ and is not kid friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",there is a _|eatType|_ by the name of _|name|_. their price range is moderate and they serve _|food|_. they are not kid friendly and they are at the _|area|_ near _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","there is a no kid friendly _|eatType|_ called _|name|_ located at the _|area|_. they serve _|food|_, their price range is moderate, and they are near _|near|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","_|name|_ is a moderately priced, adult oriented _|eatType|_, located in the _|area|_, near the _|near|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","located in the _|area|_, near _|near|_, _|name|_ is a moderately priced adult oriented _|eatType|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ _|food|_ _|eatType|_ is kids friendly is located in _|area|_ near _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",there is a moderately priced _|eatType|_ named _|name|_ that serves _|food|_.  _|name|_ is kid friendly and is near _|near|_ in the _|area|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a _|food|_ _|eatType|_ with a moderate price range. it is located in the _|area|_ near _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ _|food|_ café  is located in _|area|_ near _|near|_  with a moderate price range and is kids friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ serving _|food|_ near _|near|_ in the city center.   _|name|_ is kid friendly and moderately priced.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",there is a _|eatType|_ located in the _|area|_ near _|near|_. _|name|_ has a moderate price range and is kid friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","the the _|area|_ area, near _|near|_, there is a _|food|_ _|eatType|_ in the moderate price range called _|name|_. it is not kids friendly."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",there is a _|food|_ _|eatType|_ located near _|near|_ in _|area|_ called _|name|_. it has a moderate price range and is not kid friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",near _|near|_ in _|area|_ there is a moderately priced _|food|_ _|eatType|_ named _|name|_. it is not kids friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ is a _|food|_ _|eatType|_ located near _|near|_ in _|area|_. it is not kid friendly and has a moderate price range.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",_|name|_ serves _|food|_. it is also a _|eatType|_. the price range is moderate. it is kids friendly. it is in the _|area|_ area near _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","_|name|_ is a _|eatType|_. there price range is moderate. they serve _|food|_. they are not kids friendly. located near the _|near|_, in the _|area|_ area."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",there is a low priced _|eatType|_ located near _|near|_ called _|name|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",there is a well priced _|eatType|_ _|name|_ which is located near to _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a child friendly _|eatType|_ located near to _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a moderately priced _|eatType|_ offering _|food|_ and is kid friendly. it is located near _|near|_ in _|area|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ _|eatType|_ is a mid-priced, family friendly _|eatType|_ located in city centre, east of _|near|_.  they offer eat-in, take-out or deliveries."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a good _|eatType|_ near to _|near|_. its kids friendly
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a family friendly _|eatType|_ located near _|near|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a _|eatType|_ providing _|food|_ deliveries in the low price range. it is located in _|near|_
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a moderate priced _|food|_ _|eatType|_ in _|area|_ near _|near|_. it is kid friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",there is a moderately cheap _|eatType|_ in _|area|_ near the _|near|_ called _|name|_.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",_|name|_ is a _|food|_ _|eatType|_ in _|area|_ near _|near|_. it is kid friendly and moderate priced.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","there is a mid-priced, family friendly _|eatType|_, _|name|_ _|eatType|_, that offers take-out or deliveries. it is located in city centre just east of _|near|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","in _|area|_, near _|near|_ is a moderately priced _|eatType|_ that serves _|food|_. it is also child friendly and is called _|name|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_ is a moderately cheap _|eatType|_ located in the area of _|area|_, near the _|near|_. _|food|_ is sold there and the staff are friendly."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","_|name|_, near _|near|_ is a moderately priced _|food|_ _|eatType|_ that is child friendly and is in _|area|_."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",a _|eatType|_ named _|name|_ is located near _|near|_ in _|area|_ offering moderately priced _|food|_. it is kid friendly.
